691.05,591.282,681.014,593.078,0.213473,0.424083,0
692.013,637.072,681.986,638.926,0.215013,0.42188,0
638.949,356.767,604.007,364.987,0.193275,0.168314,0
625.104,322.422,608.854,326.404,0.20654,0.447637,0
624.05,349.194,612.071,352.275,0.200699,0.305273,0
624.025,312.101,612.03,315.12,0.197497,0.350252,0
676.013,348.059,665.852,350.341,0.186341,0.420299,0
523.076,642.509,479.887,650.441,0.142968,0.161525,0
735.927,101.731,662.879,121.555,0.18943,0.443721,0
459.914,654.501,426.063,660.265,0.159083,0.124624,0
691.115,332.554,666.043,338.192,0.150383,0.0435993,0
704.103,341.42,693.978,343.911,0.180006,0.399356,0
623.963,285.853,607.98,289.92,0.165756,0.272378,0
624.109,275.442,613.04,278.164,0.173582,0.324201,0
596.213,97.7697,585.896,100.623,0.172077,0.438837,0
691.131,344.534,680.06,347.244,0.168166,0.365987,0
387.04,344.156,349.9,353.606,0.167541,0.394662,0
797.933,304.713,773.853,310.376,0.165597,0.342166,0
803.957,418.788,792.043,421.211,0.169083,0.353151,0
751.006,273.023,738.989,275.956,0.16461,0.401662,0
297.969,372.88,274.961,378.85,0.156628,0.315062,0
335.034,382.145,321.817,385.213,0.158242,0.3828,0
386.973,272.899,355.008,281.031,0.140056,0.0511874,0
766.094,150.355,740.073,157.274,0.162229,0.417023,0
641.173,151.642,621.019,157.071,0.161551,0.42366,0
797.108,327.482,776.043,332.203,0.142665,0.0595727,0
836.013,614.068,825.985,615.919,0.157399,0.422387,0
524.037,166.133,510.945,169.805,0.156661,0.328915,0
362.988,225.954,348.011,230.04,0.156984,0.394688,0
522.96,160.845,510.055,164.21,0.15726,0.322889,0
389.925,218.728,374.026,223.094,0.148896,0.337242,0
336.994,390.979,322.91,394.653,0.151608,0.401318,0
835.933,600.616,816.018,604.103,0.151862,0.300271,0
703.112,503.484,692.962,505.836,0.154011,0.358889,0
558.164,350.71,548.011,353.049,0.149304,0.419227,0
